Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
Leslie - 1740 - A new and exact account of Jamaica_page_184_page_001.xml,EasyOCR,0.209188,0.393939,118,79,58,23,13,55,1219,231
Ligon - 1657 - A True and Exact history of the island of barbados_page_47_page_001.xml,EasyOCR,0.179852,0.516588,162,239,206,28,90,209,3375,633
"Long - 1774 - The history of Jamaica, or, general survey of the antient and modern state of that island_page_1_page_001.xml",EasyOCR,0.217207,0.638075,148,114,354,28,15,262,2836,478
"Marnettè - 1656 - The perfect cook being the most exact directions for the making all kinds of pastes, with the perfec_page_97_page_001.xml",EasyOCR,0.750916,0.958763,280,282,873,0,42,330,1911,388
"Morley - 1653 - A Vindication of that righteous principle of the doctrine of Christ, called laying on of hands upon_page_26_page_001.xml",EasyOCR,0.756687,0.963554,251,201,1302,2,14,407,2318,439
Moseley and Moseley - 1799 - A treatise on sugar_page_103_page_001.xml,EasyOCR,0.185357,0.394737,71,72,57,14,10,51,1079,190
"Mullinax - 1660 - Symplegades antrum, or the rumpant story impartially relating their tyrannical dealings, and clymacterial downfall_page_16_page_001.xml",EasyOCR,0.762827,0.975855,412,323,1391,0,9,476,2787,497
Norwood - 1753 - An account of some particulars_page_1_page_001.xml,EasyOCR,0.203513,0.505967,149,206,120,30,45,137,2334,419
Ogilby - 1671 - America_page_399_page_001.xml,EasyOCR,0.289604,0.577670,290,272,140,56,42,140,2424,412
Priestley - 1788 - A sermon on the subject of the slave trade_page_29_page_001.xml,EasyOCR,0.075117,0.259459,21,19,40,5,3,40,1065,185
Prinsep - 1792 - The right in the West-India merchants to a double monopoly of the sugar market of Great Britain_page_1_page_001.xml,EasyOCR,0.194231,0.409574,70,78,54,10,14,53,1040,188
Prinsep - 1794 - Bengal Sugar. An account of the method and expence of cultivating the sugar-cane in Bengal_page_1_page_001.xml,EasyOCR,0.204212,0.479592,92,65,66,16,15,63,1092,196
Purchas - 1614 - Purchas his pilgrimage_page_484_page_001.xml,EasyOCR,0.346074,0.815914,328,611,736,15,145,527,4840,842
